Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,Pub_Year,Device_Weight_kg_log,Publication_Year,Publication_Month,Publication_Day,Risk_Indicator,Device_Category,Year
Ultrasound Scanner,Model 8477,Intuitive Surgical,Rev. 1.1,14-09-2019,Class IIb,NMPA-684667,Adult (18-65),Indicated for diagnostic sterilization to assess orthopedic injuries in clinical environments.,Not suitable for use with alcohol-based solutions or in explosive atmospheres.,Ethylene Oxide (EtO),5,3,4,7.58,36,2019,2.149433913,2019,9,14,8,Very Low,2019
Catheter,Z-8479,Cooper Companies,Rev. 4.3,20-01-2023,Class III,H913821,All,Used for post-operative chemotherapy management in hospital recovery units.,Do not use if patient has known allergy to vasoconstrictors or hypersensitivity to conductive gels.,Gamma Irradiation,7,8,7,13.97,32,2023,2.706048198,2023,1,20,15,Low,2023
Infusion Pump,DEX248,Dexcom,2020-11-Q,26-10-2019,Class IIb,NDA715804,Adult (18-65),Intended for calibration support in cardiac catheterization laboratory environments.,Contraindicated in patients with severe hypertension or on radioactive materials.,Ethylene Oxide (EtO),14,14,6,15.51,15,2019,2.803966258,2019,10,26,28,Low,2019
ECG Machine,Plus608,Olympus Corporation,2025-10-O,21-01-2023,Class IIb,PMDA-846907,Pediatric (2-18),Indicated for continuous intracranial pressure monitoring during endoscopic surgical procedures.,Not suitable for use in emergency situations with fire or during electromagnetic interference zones.,Single-Use Sterile,8,6,7,12.69,16,2023,2.616665639,2023,1,21,14,Low,2023
Nebulizer,Plus772,Cook Medical,2020-04-V,8-02-2020,Class I,NDA393061,All,Intended for infection prevention verification in quality assurance and device validation protocols.,Do not use if structural defects is present or incision is infected.,Hydrogen Peroxide Plasma,7,9,9,5.74,34,2020,1.908059925,2020,2,8,16,Very Low,2020
Electrosurgical Unit,AES311,Aesculap,Rev. 9.0,8-01-2025,Class IIb,UKCA28026,Adult (18-65),Designed for perioperative oxygen saturation management during thoracic interventions.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Not Applicable,20,27,5,15.51,26.7,2025,2.803966258,2025,1,8,47,Low,2025
Patient Monitor,Model 9209,Zeiss Medical Technology,Version 7,26-04-2020,Class IIa,NDA916136,Pediatric (2-18),Used for radiation therapy guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or routine maintenance has expired.,Ethylene Oxide (EtO),13,14,11,15.51,35,2020,2.803966258,2020,4,26,27,Low,2020
CPAP Machine,Pro924,Sonova,v11.0,22-07-2017,Class II,BLA834987,Infant (0-2),Indicated for continuous electrolyte balance monitoring during reconstructive surgical procedures.,Not recommended in presence of cardiomyopathy or at open wounds locations.,UV Sterilization,6,7,7,7.3,14,2017,2.116255515,2017,7,22,13,Very Low,2017
Blood Glucose Monitor,Model 7484,Terumo,2022-09-Y,17-01-2018,Class IIa,IVDR-597125,Geriatric,Indicated for continuous blood gas analysis monitoring during transplant surgical procedures.,Contraindicated in presence of contrast agents or during microwave diathermy.,Steam Sterilization,15,16,5,0.38,29,2018,0.322083499,2018,1,17,31,Very Low,2018
Pulse Oximeter,Plus419,Mölnlycke Health Care,v5.8,15-03-2020,Class IIa,P544099,Adult (>65),Indicated for routine documentation screening in outpatient clinical facilities.,Avoid use in patients with peripheral vascular disease or severe skin allergies.,Hydrogen Peroxide Plasma,5,7,5,0.35,16,2020,0.300104592,2020,3,15,12,Very Low,2020
Electrosurgical Unit,Model 7890,Hoya Corporation,Rev. 4.1,16-10-2020,Class III,NDA673911,Neonatal,Indicated for continuous ECG readings monitoring during ophthalmic surgical procedures.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,15,22,3,10.64,33,2020,2.454447442,2020,10,16,37,Low,2020
Patient Monitor,BEC637,Becton Dickinson,v1.5,17-03-2020,Class III,CE5653,Infant (0-2),Intended for device maintenance verification in quality assurance and device validation protocols.,Avoid use in patients with contraceptive implants or ocular implants. Not suitable for explosive atmospheres.,Steam Sterilization,7,20,9,1.13,28,2020,0.75612198,2020,3,17,27,Very Low,2020
Infusion Pump,BAX866,Baxter International,Rev. 6.6,30-08-2024,Class IIa,UKCA52609,Pediatric (2-18),Designed for home-based wound irrigation in stable mentally impaired patients with chronic infectious diseases.,Contraindicated in patients with acute myocardial infarction or severe thrombocytopenia.,UV Sterilization,10,16,5,5.06,16,2024,1.8017098,2024,8,30,26,Very Low,2024
Surgical Drill,BEC662,Becton Dickinson,Rev. 9.7,14-10-2024,Class I,BLA443986,Geriatric,Intended for diagnostic assessment therapy in intensive care unit environments for critically ill patients.,Avoid use in patients with active infections or altered consciousness.,Single-Use Sterile,22,23,12,2.57,13,2024,1.272565596,2024,10,14,45,Very Low,2024
Defibrillator,C-6496,Alcon,v2.3,27-05-2025,Class III,P491885,Adult (>65),Used for intraoperative alarm management monitoring during complex emergency surgeries.,Avoid use in patients with active peripheral vascular disease or compromised respiratory function.,Ethylene Oxide (EtO),12,29,14,2.12,28,2025,1.137833002,2025,5,27,41,Very Low,2025
Surgical Drill,ZEI732,Zeiss Medical Technology,v1.7,27-11-2020,Class III,MDR-981589,Adult,Designed for perioperative oxygen saturation management during minimally invasive interventions.,Not suitable for use during diathermy procedures or X-ray.,Autoclave,24,15,12,7.67,18,2020,2.159868791,2020,11,27,39,Very Low,2020
CPAP Machine,Z-8636,Waters Corporation,Version 14,20-12-2015,Class II,P627841,Infant (0-2),Used for post-operative phototherapy management in hospital recovery units.,Contraindicated in patients with stroke or unable to follow instructions.,Autoclave,7,5,15,10.42,11,2015,2.435366204,2015,12,20,12,Low,2015
Anesthesia Machine,Model 6563,Terumo,Version 15,22-08-2021,Class III,BLA475183,Pediatric,Used for intraoperative device maintenance monitoring during complex urological surgeries.,Contraindicated in patients with hepatic dysfunction or severe stroke.,Ethylene Oxide (EtO),24,25,19,125.74,35,2021,4.842137744,2021,8,22,49,Very Heavy,2021
X-Ray Machine,B-5438,Cooper Companies,Rev. 4.5,16-06-2025,Class I,D501525,Neonatal,Used for intraoperative monitoring monitoring during complex oncological surgeries.,Do not use in patients with stroke. Contraindicated in fire hazard zones.,Not Applicable,8,15,9,3.14,14,2025,1.420695788,2025,6,16,23,Very Low,2025
Syringe Pump,Model 8062,Becton Dickinson,v1.7,11-04-2018,Class I,TGA-523623,Adult and Pediatric,Indicated for real-time respiratory rate assessment in emergency department triage protocols.,Avoid use if patient has malignant hyperthermia or is receiving blood thinners.,Not Applicable,14,14,11,7.13,36,2018,2.095560924,2018,4,11,28,Very Low,2018
Nebulizer,Pro486,Idexx Laboratories,Version 10,23-02-2020,Class III,K548186,Geriatric,Indicated for routine calibration screening in outpatient clinical facilities.,Avoid use in patients with severe diabetes or altered cognitive function.,Pre-Sterilized,6,8,9.758918071,3.96,30,2020,1.601405741,2020,2,23,14,Very Low,2020
Wound Care System,FRE555,Fresenius Medical Care,v14.0,18-10-2021,Class III,HC-477432,Pediatric,Indicated for diagnostic patient positioning to assess infectious diseases in clinical environments.,Avoid use in patients with dental implants or cardiac devices. Not suitable for unsupervised use.,Hydrogen Peroxide Plasma,3,9,4,11.39,32,2021,2.516889696,2021,10,18,12,Low,2021
Electrosurgical Unit,Model 1380,Aesculap,2020-05-N,15-01-2015,Class III,UKCA41361,Adult and Pediatric,Designed for intubation facilitation in telemedicine and remote patient monitoring.,Do not use in combination with flammable anesthetics or pain management modalities.,Ethylene Oxide (EtO),13,14,5,17.6,27,2015,2.923161581,2015,1,15,27,Low,2015
X-Ray Machine,B. 590,B. Braun,v1.9,30-04-2015,Class IIa,CE5653,Pediatric,Used for long-term phototherapy delivery in ambulatory care settings for diabetes patients.,Avoid use in patients with epilepsy or altered cognitive function.,Chemical Sterilization,2,5,11,17.75,16,2015,2.931193752,2015,4,30,7,Low,2015
Infusion Pump,BAX174,Baxter International,v12.0,19-07-2024,Class II,HDE327265,Adult (>65),Designed for life support in patients with cancer under medical supervision.,Do not use in patients with autoimmune disorders. Contraindicated in hyperbaric chambers.,Hydrogen Peroxide Plasma,15,10,7,5.22,23,2024,1.827769907,2024,7,19,25,Very Low,2024
Defibrillator,Max134,Thermo Fisher Scientific,Rev. 9.6,2-06-2017,Class IIb,IVDR-114310,Adult,Indicated for blood gas analysis surveillance in infection control protocols.,Do not use during local anesthesia administration or in comatose.,Chemical Sterilization,23,28,5,17.95,28,2017,2.941803932,2017,6,2,51,Low,2017
Pacemaker,X-6355,B. Braun,v11.4,2-09-2020,Class III,Q206793,Geriatric,Used for therapeutic oxygen therapy in terminally ill patients requiring medication administration.,Contraindicated in patients with renal insufficiency or severe hepatic dysfunction.,Steam Sterilization,3,7,15,0.11,40,2020,0.104360015,2020,9,2,10,Very Low,2020
Nebulizer,Pro135,Richard Wolf,2020-07-S,16-05-2022,Class I,HDE943956,Geriatric,Intended for monitoring and measuring ECG readings in paralyzed patients in hospital and clinical settings.,Avoid use in patients with neurostimulators or clips and coils. Not suitable for hyperbaric chambers.,Hydrogen Peroxide Plasma,2,6,7,3.86,10,2022,1.581038438,2022,5,16,8,Very Low,2022
Pulse Oximeter,JOH303,Johnson & Johnson,Rev. 4.1,1-10-2018,Class IIa,PMDA-693431,Pediatric (2-18),Designed for home-based wound irrigation in stable neonatal patients with chronic cardiac disorders.,Not suitable for use with chemotherapy drugs or in emergency situations.,UV Sterilization,8,4,6,0.2,27,2018,0.182321557,2018,10,1,12,Very Low,2018
Defibrillator,STE899,Steris,Rev. 10.3,6-02-2019,Class II,PMDA-564910,All,Indicated for continuous respiratory rate monitoring during transplant surgical procedures.,Do not use in combination with conductive gels or electrotherapy modalities.,Steam Sterilization,19,26,5,1.08,15,2019,0.732367894,2019,2,6,45,Very Low,2019
Catheter,SIE840,Siemens Healthineers,Rev. 2.6,27-06-2015,Class IIb,NMPA-619366,Adult and Pediatric,Designed for preventive screening assistance in geriatric care facilities for elderly patients.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,8,12,3,13.45,30,2015,2.670694415,2015,6,27,20,Low,2015
Blood Glucose Monitor,Plus152,Hologic,Rev. 8.4,11-02-2023,Class I,HDE873213,All,Used for emergency surgical intervention in acute respiratory conditions situations requiring immediate care.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Pre-Sterilized,8,16,9.758918071,0.34,25,2023,0.292669614,2023,2,11,24,Very Low,2023
Digital Thermometer,TER777,Terumo,Version 15,26-01-2024,Class IIb,HDE589668,Adult and Pediatric,Indicated for hemoglobin levels analysis in laboratory diagnostic testing environments.,Do not use during general anesthesia administration or in sedated.,UV Sterilization,9,12,3,0.4,34,2024,0.336472237,2024,1,26,21,Very Low,2024
Patient Monitor,Model 1488,Mindray,Rev. 1.4,19-09-2018,Class I,IDE327227,Adult (18-65),Used for long-term dialysis delivery in ambulatory care settings for renal failure patients.,Not recommended for use in post-operative patients or those with bleeding disorders.,Autoclave,11,12,12,2.6,37,2018,1.280933845,2018,9,19,23,Very Low,2018
Pacemaker,B-3854,Dentsply Sirona,Rev. 6.6,13-10-2024,Class III,CE9182,Geriatric,Used for long-term drug delivery delivery in ambulatory care settings for orthopedic injuries patients.,Do not use if patient has known allergy to antibiotics or hypersensitivity to bronchodilators.,Autoclave,6,14,21,0.04,26.7,2024,0.039220713,2024,10,13,20,Very Low,2024
Blood Glucose Monitor,Plus792,Medtronic,Version 7,1-12-2020,Class II,NMPA-328620,Neonatal,Designed for perioperative temperature management during neurological interventions.,Do not use in combination with magnetic materials or wound irrigation modalities.,Ethylene Oxide (EtO),5,18,5,0.4,31,2020,0.336472237,2020,12,1,23,Very Low,2020
Stent,GE 629,Ge Healthcare,2025-03-A,14-12-2015,Class II,K358800,Geriatric,Indicated for routine documentation screening in outpatient clinical facilities.,Do not use if structural defects is present or incision is infected.,Steam Sterilization,5,12,25,0.13,37,2015,0.122217633,2015,12,14,17,Very Low,2015
Patient Monitor,ZEI602,Zeiss Medical Technology,2023-05-Q,24-08-2016,Class III,HC-823742,Adult (18-65),Used for intraoperative calibration monitoring during complex gastroenterological surgeries.,Contraindicated in presence of radio frequencies or MRI environments exposure.,Steam Sterilization,8,18,12,3.49,26.7,2016,1.501852702,2016,8,24,26,Very Low,2016
Patient Monitor,Plus768,Intuitive Surgical,Rev. 4.1,24-02-2017,Class I,PMDA-640772,Adult (18-65),Designed for wound care assistance in geriatric care facilities for elderly patients.,Avoid use in patients with heart valves or cochlear implants. Not suitable for explosive atmospheres.,Ethylene Oxide (EtO),11,20,9.758918071,4.93,25,2017,1.780024213,2017,2,24,31,Very Low,2017
Dialysis Machine,A-6687,Aesculap,Rev. 6.8,13-04-2021,Class III,H741857,Adult (>65),Designed for intubation support in neonatal intensive care environments.,Avoid use in patients with acute myocardial infarction or altered cognitive function.,Not Applicable,13,9,9,22.62,16,2021,3.162093811,2021,4,13,22,Medium,2021
Blood Pressure Monitor,A-1588,Boston Scientific,2022-09-M,9-05-2015,Class III,IVDR-606653,Adult (>65),Indicated for oxygen saturation optimization in sleep medicine centers for respiratory disorders.,Do not use in patients with thrombocytopenia or severe thrombocytopenia.,Chemical Sterilization,8,18,12,7.25,22,2015,2.1102132,2015,5,9,26,Very Low,2015
Surgical Robot,Z-2737,Alcon,Rev. 1.6,18-12-2017,Class III,UKCA86927,Adult (>65),Intended for calibration support in cardiac catheterization laboratory environments.,Contraindicated in presence of electromagnetic fields or MRI environments exposure.,Autoclave,13,23,8,8.29,11,2017,2.228938553,2017,12,18,36,Very Low,2017
CPAP Machine,C-1297,Hoya Corporation,2023-07-O,21-01-2018,Class I,K213154,Adult and Pediatric,Indicated for real-time pH levels assessment in emergency department triage protocols.,Contraindicated in patients with severe cardiomyopathy or uncontrolled stroke.,Ethylene Oxide (EtO),10,5,9.758918071,16.8,26.7,2018,2.879198457,2018,1,21,15,Low,2018
Catheter,Plus785,Coloplast,Version 2,1-07-2025,Class I,BLA550893,Geriatric,Designed for preventive screening in patients with orthopedic injuries under medical supervision.,Not suitable for use in underwater environments with radiation or during underwater environments.,Ethylene Oxide (EtO),10,7,6,19.17,35,2025,3.004196352,2025,7,1,17,Low,2025
ECG Machine,Model 4538,Aesculap,Version 13,16-09-2017,Class I,NDA457677,Neonatal,Used for drug delivery administration in pediatric hospital units under specialist supervision.,Do not use if battery depletion is detected or quality control has expired.,Not Applicable,6,15,10,2.63,13,2017,1.289232648,2017,9,16,21,Very Low,2017
Insulin Pump,Model 5606,Richard Wolf,Rev. 9.0,6-11-2018,Class III,TGA-113078,Infant (0-2),Used for post-operative oxygen therapy management in hospital recovery units.,Avoid use in patients with skin allergies or uncontrolled cardiomyopathy.,Autoclave,9,15,12,7.52,17,2018,2.142416341,2018,11,6,24,Very Low,2018
